id   Vmag    e_Vm  B-V     e_B-V
 167 18.491  0.005  0.420  0.007
 168 18.501  0.005  0.433  0.007
 169 18.502  0.005  0.427  0.007
 170 18.505  0.005  0.439  0.007
 171 18.506  0.006  0.464  0.008
 172 18.509  0.005  1.047  0.007
 173 18.512  0.005  0.450  0.007
 174 18.520  0.005  0.438  0.007
 175 18.529  0.005  0.427  0.007
 176 18.533  0.005  0.433  0.007
 177 18.539  0.005  0.408  0.007
 178 18.542  0.005  0.429  0.007
 179 18.545  0.005  0.444  0.007
 180 18.545  0.005  0.437  0.007
 181 18.553  0.005  0.408  0.007
 182 18.554  0.005  0.440  0.007
 183 18.560  0.005  0.439  0.007
 184 18.561  0.005  0.439  0.007
 185 18.562  0.005  0.427  0.007
 186 18.585  0.005  0.423  0.007
 187 18.588  0.007  0.453  0.010
 188 18.598  0.005  0.423  0.007
 189 18.598  0.005  0.432  0.007
 190 18.600  0.005  0.427  0.007
 191 18.601  0.005  0.434  0.007
 192 18.601  0.005  0.434  0.007
 193 18.606  0.005  0.442  0.007
 194 18.608  0.005  0.431  0.007
 195 18.619  0.005  0.433  0.007
 196 18.627  0.005  0.431  0.007
 197 18.631  0.005  0.409  0.008
 198 18.654  0.005  0.432  0.007
 199 18.665  0.005  0.439  0.007
 200 18.676  0.005  0.431  0.007
 201 18.677  0.005  0.438  0.007
 202 18.681  0.005  0.427  0.007
 203 18.682  0.005  0.433  0.007
 204 18.683  0.005  0.422  0.007
 205 18.685  0.005  0.928  0.008
 206 18.687  0.005  0.637  0.007
 207 18.703  0.005  0.446  0.008
 208 18.711  0.005  0.422  0.007
 209 18.711  0.005  0.441  0.007
 210 18.720  0.005  0.429  0.007
 211 18.722  0.005  0.424  0.007
 212 18.724  0.005  0.435  0.007
 213 18.726  0.005  0.668  0.007
 214 18.728  0.005  0.485  0.007
 215 18.732  0.005 -0.235  0.007
 216 18.735  0.005  0.429  0.007
 217 18.738  0.007  0.370  0.010
 218 18.741  0.005  0.437  0.007
 219 18.753  0.005  0.415  0.007
 220 18.754  0.005  0.425  0.007
 221 18.762  0.005  0.421  0.007
 222 18.763  0.005  0.447  0.007
 223 18.769  0.005  0.441  0.007
 224 18.775  0.006  0.441  0.009
 225 18.775  0.005  0.433  0.007
 226 18.776  0.005  0.460  0.007
 227 18.780  0.006  0.405  0.008
 228 18.786  0.005  0.433  0.007
 229 18.788  0.007  0.411  0.009
 230 18.788  0.005  0.440  0.007
 231 18.797  0.005  0.439  0.007
 232 18.797  0.005  0.453  0.007
 233 18.798  0.005  1.199  0.008
 234 18.800  0.005  0.435  0.007
 235 18.802  0.005  0.450  0.007
 236 18.810  0.005  0.429  0.007
 237 18.821  0.005  0.456  0.007
 238 18.826  0.005  0.439  0.007
 239 18.831  0.005  0.451  0.008
 240 18.836  0.005  0.441  0.007
 241 18.839  0.005  0.444  0.007
 242 18.841  0.005  0.429  0.007
 243 18.845  0.005  0.426  0.007
 244 18.850  0.005  0.446  0.007
 245 18.854  0.005  0.433  0.007
 246 18.855  0.005  0.440  0.007
 247 18.860  0.005  0.457  0.007
 248 18.865  0.005  0.447  0.007
 249 18.866  0.005  0.939  0.008
 250 18.871  0.005  0.435  0.007
 251 18.872  0.005  0.435  0.007
 252 18.875  0.005  0.420  0.007
 253 18.876  0.007  0.413  0.010
 254 18.880  0.006  0.461  0.008
 255 18.881  0.009  0.420  0.012
 256 18.882  0.005  0.453  0.007
 257 18.884  0.005  0.452  0.007
 258 18.886  0.005  0.843  0.008
 259 18.893  0.005  0.511  0.007
 260 18.893  0.005  0.439  0.008
 261 18.899  0.005  0.429  0.008
 262 18.902  0.005  0.442  0.007
 263 18.903  0.005  0.443  0.007
 264 18.905  0.005  0.435  0.007
 265 18.908  0.005  0.412  0.008
 266 18.911  0.005  0.453  0.008
 267 18.913  0.005  0.432  0.007
 268 18.916  0.005  0.450  0.008
 269 18.918  0.005  0.457  0.007
 270 18.919  0.006  0.869  0.008
 271 18.921  0.005  0.443  0.007
 272 18.921  0.006  0.459  0.008
 273 18.923  0.005  0.434  0.008
 274 18.931  0.005  0.443  0.007
 275 18.932  0.005  0.417  0.008
 276 18.936  0.008  0.473  0.010
 277 18.939  0.005  0.449  0.008
 278 18.941  0.005  0.413  0.008
 279 18.943  0.005  0.459  0.007
 280 18.956  0.005  0.441  0.008
 281 18.957  0.005  0.446  0.008
 282 18.960  0.006  0.452  0.008
 283 18.962  0.005  0.435  0.008
 284 18.966  0.005  0.451  0.008
 285 18.967  0.005  0.448  0.007
 286 18.968  0.005  0.450  0.008
 287 18.969  0.005  0.450  0.008
 288 18.986  0.007  0.463  0.009
 289 18.987  0.006  0.446  0.008
 290 18.990  0.005  0.448  0.008
 291 18.991  0.005  0.446  0.008
 292 18.992  0.005  0.453  0.008
 293 18.996  0.005  0.446  0.008
 294 19.002  0.005  0.438  0.008
 295 19.004  0.005  0.444  0.008
 296 19.005  0.005  0.427  0.008
 297 19.009  0.006  0.446  0.008
 298 19.013  0.005  0.447  0.008
 299 19.014  0.005  0.449  0.008
 300 19.018  0.006  0.452  0.010
 301 19.020  0.006  0.430  0.008
 302 19.026  0.005  0.433  0.007
 303 19.027  0.005  0.429  0.008
 304 19.028  0.005  0.453  0.008
 305 19.033  0.005  0.438  0.008
 306 19.035  0.006  0.422  0.008
 307 19.036  0.006  0.814  0.008
 308 19.039  0.006  0.439  0.008
 309 19.047  0.005  0.452  0.008
 310 19.047  0.006  0.456  0.008
 311 19.049  0.008  1.572  0.012
 312 19.054  0.005  0.444  0.008
 313 19.059  0.006  0.427  0.008
 314 19.061  0.006  0.459  0.008
 315 19.061  0.005  0.442  0.008
 316 19.061  0.007  0.233  0.012
 317 19.062  0.005  0.448  0.008
 318 19.069  0.005  0.456  0.008
 319 19.069  0.005  0.467  0.008
 320 19.074  0.005  0.464  0.008
 321 19.075  0.006  0.447  0.008
 322 19.080  0.006  0.449  0.008
 323 19.083  0.006  0.449  0.008
 324 19.084  0.006  0.441  0.008
 325 19.094  0.006  0.486  0.008
 326 19.094  0.006  0.441  0.008
 327 19.098  0.006  0.448  0.008
 328 19.101  0.007  0.498  0.009
 329 19.101  0.006  0.466  0.008
 330 19.102  0.007  1.616  0.013
 331 19.111  0.006  0.441  0.008
 332 19.113  0.006  0.466  0.008
 333 19.115  0.005  0.453  0.008
 334 19.119  0.006  0.451  0.008
 335 19.126  0.006  0.455  0.008
 336 19.132  0.006  0.496  0.008
 337 19.135  0.006  0.458  0.008
 338 19.135  0.006  0.472  0.009
 339 19.139  0.006  0.863  0.008
 340 19.143  0.006  0.458  0.008
 341 19.146  0.006  0.455  0.009
 342 19.148  0.006  0.453  0.008
 343 19.149  0.006  0.483  0.008
 344 19.154  0.007  0.502  0.009
 345 19.155  0.006  0.447  0.008
 346 19.156  0.006  0.450  0.008
 347 19.156  0.006  0.463  0.008
 348 19.164  0.006  0.469  0.008
 349 19.165  0.006  0.484  0.008
 350 19.166  0.006  0.442  0.008
 351 19.167  0.008  0.432  0.012
 352 19.175  0.006  0.476  0.008
 353 19.177  0.006  0.476  0.008
 354 19.178  0.006  0.456  0.008
 355 19.178  0.006  0.446  0.008
 356 19.185  0.006  0.464  0.008
 357 19.186  0.006  0.517  0.008
 358 19.186  0.006  0.465  0.009
 359 19.191  0.006  0.474  0.008
 360 19.193  0.006  0.524  0.010
 361 19.195  0.006  0.464  0.008
 362 19.196  0.006  0.458  0.008
 363 19.207  0.006  0.460  0.008
 364 19.209  0.006  0.456  0.008
 365 19.212  0.006  0.455  0.008
 366 19.231  0.006  0.478  0.009
 367 19.233  0.006  0.460  0.008
 368 19.233  0.006  0.477  0.008
 369 19.235  0.006  0.466  0.008
 370 19.236  0.006  0.484  0.008
 371 19.237  0.006  1.472  0.010
 372 19.240  0.007  0.489  0.010
 373 19.240  0.006  0.455  0.009
 374 19.247  0.006  0.450  0.008
 375 19.249  0.006  0.479  0.008
 376 19.256  0.007  0.484  0.009
 377 19.259  0.009  0.464  0.012
 378 19.260  0.006  0.455  0.008
 379 19.265  0.006  0.474  0.008
 380 19.268  0.006  0.472  0.008
 381 19.272  0.006  0.481  0.009
 382 19.273  0.006  0.442  0.009
 383 19.276  0.007  0.492  0.009
 384 19.277  0.006  0.475  0.008
 385 19.279  0.006  0.459  0.009
 386 19.282  0.006  0.589  0.009
 387 19.283  0.006  0.476  0.008
 388 19.283  0.006  1.393  0.011
 389 19.283  0.006  0.449  0.008
 390 19.284  0.006  0.457  0.008
 391 19.286  0.006  0.468  0.009
 392 19.289  0.006  0.458  0.008
 393 19.291  0.006  0.432  0.008
 394 19.294  0.006  0.441  0.009
 395 19.301  0.006  0.490  0.009
 396 19.303  0.006  0.458  0.009
 397 19.305  0.006  0.468  0.008
 398 19.310  0.006  0.461  0.008
 399 19.313  0.006  0.498  0.009
 400 19.318  0.006  0.451  0.008
 401 19.318  0.006  0.467  0.009
 402 19.328  0.008  0.438  0.012
 403 19.330  0.006  0.459  0.008
 404 19.330  0.007  0.477  0.009
 405 19.332  0.006  0.464  0.009
 406 19.340  0.006  0.473  0.009
 407 19.342  0.006  0.461  0.009
 408 19.345  0.006  0.476  0.009
 409 19.350  0.006  0.473  0.009
 410 19.350  0.006  0.489  0.008
 411 19.351  0.006  0.482  0.009
 412 19.352  0.006  0.463  0.009
 413 19.354  0.006  0.481  0.008
 414 19.355  0.006  0.467  0.009
 415 19.355  0.007  1.665  0.018
 416 19.362  0.006  0.459  0.009
 417 19.367  0.006  0.476  0.009
 418 19.368  0.007  0.472  0.009
 419 19.369  0.006  0.485  0.009
 420 19.371  0.006  1.165  0.010
 421 19.380  0.006  0.473  0.009
 422 19.380  0.006  0.458  0.008
 423 19.388  0.006  0.474  0.009
 424 19.390  0.006  0.467  0.009
 425 19.390  0.006  0.487  0.009
 426 19.391  0.006  0.481  0.009
 427 19.395  0.006  0.490  0.009
 428 19.399  0.006  0.501  0.009
 429 19.401  0.006  0.476  0.009
 430 19.403  0.006  0.474  0.009
 431 19.408  0.006  0.489  0.009
 432 19.413  0.006  0.473  0.009
 433 19.415  0.006  0.479  0.009
 434 19.416  0.006  0.479  0.009
 435 19.416  0.006  1.415  0.011
 436 19.417  0.006  0.484  0.009
 437 19.428  0.006  0.457  0.009
 438 19.431  0.007  0.489  0.009
 439 19.433  0.006  0.476  0.009
 440 19.434  0.007  0.490  0.009
 441 19.437  0.006  0.481  0.009
 442 19.437  0.007  0.493  0.009
 443 19.438  0.006  1.433  0.012
 444 19.442  0.007  0.381  0.009
 445 19.444  0.006  0.494  0.009
 446 19.445  0.007  0.469  0.009
 447 19.447  0.007  1.180  0.011
 448 19.454  0.007  0.477  0.009
 449 19.458  0.006  0.477  0.009
 450 19.459  0.006  0.483  0.009
 451 19.461  0.006  0.478  0.009
 452 19.461  0.006  0.503  0.009
 453 19.463  0.006  0.498  0.009
 454 19.468  0.007  0.466  0.009
 455 19.476  0.006  0.482  0.009
 456 19.480  0.007  0.443  0.010
 457 19.483  0.007  0.479  0.009
 458 19.483  0.007  0.498  0.010
 459 19.487  0.007  0.484  0.009
 460 19.490  0.006  0.479  0.009
 461 19.496  0.006  0.474  0.009
 462 19.500  0.007  0.461  0.009
 463 19.502  0.007  0.475  0.009
 464 19.502  0.007  0.492  0.009
 465 19.511  0.007  0.487  0.010
 466 19.512  0.006  0.490  0.009
 467 19.514  0.007  0.473  0.009
 468 19.516  0.007  0.463  0.010
 469 19.518  0.010  0.450  0.015
 470 19.520  0.006  0.478  0.009
 471 19.520  0.007  0.483  0.009
 472 19.525  0.007  0.502  0.009
 473 19.532  0.007  0.495  0.010
 474 19.537  0.007  0.475  0.010
 475 19.552  0.007  0.512  0.009
 476 19.556  0.007  0.498  0.010
 477 19.558  0.007  0.481  0.009
 478 19.558  0.012  0.701  0.017
 479 19.560  0.007  0.479  0.009
 480 19.562  0.007  0.478  0.009
 481 19.563  0.012  0.514  0.015
 482 19.567  0.007  0.493  0.010
 483 19.570  0.007  0.496  0.009
 484 19.571  0.007  0.494  0.010
 485 19.572  0.007  0.492  0.009
 486 19.581  0.007  0.499  0.010
 487 19.581  0.007  0.455  0.010
 488 19.582  0.007  0.509  0.009
 489 19.583  0.006  0.479  0.009
 490 19.586  0.010  0.482  0.016
 491 19.586  0.007  0.512  0.009
 492 19.588  0.007  0.461  0.010
 493 19.589  0.007  0.498  0.010
 494 19.589  0.007  0.521  0.010
 495 19.590  0.008  0.540  0.011
 496 19.593  0.007  0.495  0.010
 497 19.593  0.006  0.482  0.009
 498 19.594  0.007  0.484  0.010
 499 19.594  0.007  0.487  0.009
 500 19.595  0.007  0.499  0.009
 501 19.597  0.007  0.499  0.010
 502 19.599  0.007  0.500  0.010
 503 19.601  0.007  0.504  0.010
 504 19.602  0.007  0.513  0.009
 505 19.604  0.007  0.514  0.009
 506 19.606  0.007  0.503  0.009
 507 19.606  0.007  0.498  0.010
 508 19.609  0.006  0.631  0.009
 509 19.610  0.007  1.302  0.013
 510 19.611  0.007  0.468  0.010
 511 19.615  0.007  0.525  0.009
 512 19.615  0.007  0.498  0.010
 513 19.617  0.007  0.486  0.010
 514 19.623  0.007  0.499  0.010
 515 19.624  0.007  0.508  0.010
 516 19.627  0.007  0.504  0.009
 517 19.627  0.007  0.504  0.009
