id   Vmag    e_Vm  B-V     e_B-V
 733 20.110  0.009  0.563  0.013
 734 20.110  0.009  0.560  0.013
 735 20.110  0.009  0.555  0.013
 736 20.111  0.009  0.535  0.012
 737 20.114  0.009  0.579  0.013
 738 20.115  0.009  0.533  0.013
 739 20.116  0.009  0.568  0.013
 740 20.116  0.009  0.556  0.013
 741 20.117  0.009  0.571  0.013
 742 20.118  0.009  0.539  0.012
 743 20.119  0.010  0.564  0.014
 744 20.119  0.009  0.570  0.013
 745 20.120  0.010  0.542  0.014
 746 20.124  0.009  0.566  0.013
 747 20.125  0.009  0.574  0.012
 748 20.135  0.009  0.604  0.013
 749 20.136  0.010  0.568  0.014
 750 20.136  0.009  0.594  0.013
 751 20.139  0.009  0.639  0.013
 752 20.144  0.009  0.552  0.013
 753 20.148  0.009  0.573  0.013
 754 20.149  0.009  0.595  0.013
 755 20.151  0.009  1.547  0.020
 756 20.152  0.009  0.551  0.013
 757 20.153  0.009  0.603  0.013
 758 20.153  0.009  0.646  0.014
 759 20.155  0.013  0.543  0.019
 760 20.155  0.009  0.596  0.014
 761 20.156  0.009  0.553  0.013
 762 20.158  0.009  0.548  0.013
 763 20.158  0.009  0.576  0.013
 764 20.162  0.009  0.545  0.014
 765 20.163  0.010  0.562  0.014
 766 20.167  0.009  0.542  0.013
 767 20.169  0.009  0.570  0.013
 768 20.170  0.009  0.574  0.013
 769 20.171  0.009  0.568  0.017
 770 20.174  0.011  0.543  0.014
 771 20.174  0.010  0.559  0.014
 772 20.176  0.009  0.831  0.014
 773 20.177  0.009  0.606  0.013
 774 20.180  0.009  0.605  0.013
 775 20.180  0.010  0.608  0.015
 776 20.181  0.010  0.588  0.014
 777 20.182  0.009  0.568  0.013
 778 20.183  0.009  0.589  0.013
 779 20.185  0.009  0.572  0.013
 780 20.188  0.009  0.547  0.014
 781 20.189  0.009  0.557  0.013
 782 20.190  0.009  0.589  0.014
 783 20.192  0.009  0.607  0.014
 784 20.196  0.013  0.594  0.019
 785 20.197  0.009  0.557  0.014
 786 20.198  0.009  0.583  0.014
 787 20.198  0.022  0.922  0.027
 788 20.200  0.014  1.328  0.021
 789 20.201  0.010  0.613  0.015
 790 20.202  0.013  0.580  0.018
 791 20.203  0.010  0.542  0.013
 792 20.203  0.010  0.583  0.014
 793 20.205  0.012  0.635  0.016
 794 20.207  0.010  0.579  0.014
 795 20.213  0.009  0.565  0.013
 796 20.213  0.009  0.600  0.014
 797 20.215  0.009  0.596  0.013
 798 20.216  0.009  0.562  0.013
 799 20.216  0.010  0.578  0.014
 800 20.216  0.009  0.526  0.013
 801 20.219  0.012  0.594  0.017
 802 20.220  0.010  0.599  0.014
 803 20.222  0.009  0.726  0.014
 804 20.222  0.009  0.599  0.014
 805 20.224  0.009  0.564  0.014
 806 20.226  0.009  0.626  0.014
 807 20.227  0.009  0.586  0.014
 808 20.233  0.009  0.559  0.013
 809 20.236  0.010  0.565  0.013
 810 20.237  0.009  0.598  0.013
 811 20.247  0.011  0.580  0.015
 812 20.247  0.010  0.489  0.014
 813 20.249  0.010  0.603  0.014
 814 20.249  0.010  0.600  0.014
 815 20.249  0.009  0.378  0.012
 816 20.251  0.009  0.583  0.015
 817 20.251  0.009  0.571  0.014
 818 20.252  0.011  0.580  0.015
 819 20.254  0.010  0.624  0.014
 820 20.256  0.010  0.663  0.014
 821 20.262  0.010  0.580  0.014
 822 20.262  0.009  0.577  0.014
 823 20.262  0.009  0.570  0.013
 824 20.263  0.009  0.611  0.014
 825 20.264  0.009  0.559  0.013
 826 20.268  0.009  0.597  0.013
 827 20.271  0.010  0.591  0.015
 828 20.273  0.011  1.500  0.022
 829 20.277  0.011  0.612  0.016
 830 20.277  0.011  0.738  0.016
 831 20.281  0.010  0.623  0.014
 832 20.282  0.010  0.556  0.014
 833 20.286  0.010  0.616  0.016
 834 20.287  0.010  0.602  0.015
 835 20.287  0.009  0.597  0.014
 836 20.288  0.010  0.632  0.015
 837 20.288  0.010  0.583  0.015
 838 20.289  0.010  0.609  0.014
 839 20.293  0.010  0.717  0.015
 840 20.294  0.010  0.585  0.014
 841 20.295  0.010  0.571  0.014
 842 20.297  0.010  0.586  0.015
 843 20.299  0.010  0.591  0.015
 844 20.300  0.009  0.652  0.014
 845 20.300  0.009  0.599  0.015
 846 20.300  0.011  0.613  0.014
 847 20.300  0.021  0.673  0.026
 848 20.301  0.009  0.572  0.015
 849 20.301  0.010  0.587  0.014
 850 20.308  0.010  0.603  0.015
 851 20.311  0.009  0.599  0.014
 852 20.315  0.010  0.599  0.015
 853 20.315  0.009  0.623  0.014
 854 20.316  0.011  0.617  0.016
 855 20.316  0.010  0.624  0.015
 856 20.317  0.010  0.612  0.015
 857 20.319  0.011  1.533  0.023
 858 20.320  0.011  0.591  0.017
 859 20.321  0.010  0.597  0.015
 860 20.321  0.010  0.555  0.015
 861 20.323  0.010  0.588  0.015
 862 20.327  0.010  1.620  0.023
 863 20.329  0.009  0.589  0.014
 864 20.329  0.011  0.587  0.015
 865 20.332  0.011  0.611  0.020
 866 20.332  0.010  0.616  0.015
 867 20.334  0.010  0.578  0.015
 868 20.334  0.009  0.579  0.014
 869 20.334  0.011  0.594  0.016
 870 20.337  0.010  0.640  0.014
 871 20.337  0.010  0.568  0.015
 872 20.337  0.010  0.597  0.015
 873 20.341  0.010  0.627  0.015
 874 20.341  0.010  0.594  0.015
 875 20.342  0.010  0.608  0.015
 876 20.343  0.010  0.613  0.015
 877 20.344  0.010  1.515  0.023
 878 20.346  0.010  0.578  0.014
 879 20.347  0.010  0.637  0.015
 880 20.347  0.012  0.615  0.017
 881 20.347  0.011  0.616  0.015
 882 20.349  0.010  0.612  0.015
 883 20.349  0.011  0.710  0.017
 884 20.350  0.010  0.579  0.015
 885 20.352  0.013  0.634  0.017
 886 20.353  0.011  0.622  0.016
 887 20.353  0.011  0.600  0.016
 888 20.355  0.010  1.182  0.020
 889 20.355  0.011  0.596  0.016
 890 20.355  0.011  0.630  0.015
 891 20.356  0.010  0.607  0.015
 892 20.359  0.010  0.648  0.014
 893 20.360  0.010  0.625  0.015
 894 20.360  0.010  0.694  0.016
 895 20.360  0.013  0.692  0.019
 896 20.361  0.011  0.590  0.016
 897 20.361  0.010  0.607  0.015
 898 20.364  0.010  0.591  0.015
 899 20.365  0.010  0.626  0.015
 900 20.370  0.010  0.600  0.015
 901 20.372  0.011  0.559  0.015
 902 20.375  0.010  0.658  0.016
 903 20.375  0.011  0.605  0.015
 904 20.377  0.011  0.745  0.017
 905 20.377  0.011  0.613  0.015
 906 20.379  0.011  0.596  0.017
 907 20.380  0.011  0.589  0.015
 908 20.382  0.013  0.581  0.018
 909 20.384  0.011  0.609  0.015
 910 20.386  0.011  0.634  0.016
 911 20.386  0.011  0.632  0.016
 912 20.387  0.010  0.630  0.015
 913 20.387  0.011  0.625  0.016
 914 20.388  0.011  0.580  0.015
 915 20.389  0.014  0.674  0.021
 916 20.390  0.011  0.647  0.020
 917 20.391  0.011  0.586  0.016
 918 20.391  0.011  0.587  0.015
 919 20.392  0.010  0.570  0.015
 920 20.394  0.011  0.630  0.016
 921 20.395  0.010  0.623  0.015
 922 20.400  0.011  0.622  0.016
 923 20.400  0.011  0.635  0.016
 924 20.405  0.010  0.602  0.016
 925 20.405  0.011  0.641  0.016
 926 20.409  0.011  0.651  0.018
 927 20.409  0.015  0.970  0.024
 928 20.414  0.011  0.655  0.016
 929 20.416  0.010  0.594  0.016
 930 20.419  0.011  0.612  0.016
 931 20.420  0.011  0.602  0.016
 932 20.420  0.010  0.603  0.015
 933 20.423  0.010  0.621  0.015
 934 20.423  0.011  0.660  0.015
 935 20.426  0.011  0.642  0.016
 936 20.429  0.011  0.618  0.016
 937 20.429  0.011  0.667  0.016
 938 20.429  0.011  0.638  0.016
 939 20.432  0.011  0.638  0.016
 940 20.433  0.012  0.588  0.016
 941 20.435  0.010  0.649  0.016
 942 20.436  0.011  0.615  0.016
 943 20.438  0.011  0.587  0.017
 944 20.441  0.011  0.631  0.016
 945 20.444  0.015  0.647  0.021
 946 20.445  0.011  0.633  0.016
 947 20.446  0.011  0.574  0.015
 948 20.448  0.011  0.592  0.016
 949 20.448  0.011  1.604  0.027
 950 20.451  0.011  0.562  0.015
 951 20.453  0.012  1.440  0.026
 952 20.458  0.012  0.625  0.016
 953 20.460  0.012  0.648  0.018
 954 20.462  0.011  0.686  0.017
 955 20.466  0.011  0.656  0.016
 956 20.469  0.011  0.616  0.016
 957 20.470  0.011  0.606  0.016
 958 20.471  0.016  1.352  0.028
 959 20.473  0.011  0.657  0.016
 960 20.473  0.012  0.613  0.018
 961 20.474  0.012  0.674  0.018
 962 20.478  0.011  0.649  0.017
 963 20.480  0.012  0.616  0.021
 964 20.483  0.011  0.613  0.017
 965 20.484  0.011  0.653  0.016
 966 20.484  0.011  0.670  0.017
 967 20.485  0.010  0.580  0.016
 968 20.486  0.011  0.625  0.016
 969 20.487  0.012  0.602  0.018
 970 20.487  0.010  0.657  0.015
 971 20.489  0.010  0.637  0.016
 972 20.491  0.011  0.651  0.017
 973 20.492  0.011  0.616  0.017
 974 20.494  0.010  0.651  0.015
 975 20.497  0.012  0.674  0.018
 976 20.499  0.012  0.641  0.018
 977 20.501  0.011  0.623  0.016
 978 20.502  0.011  0.606  0.017
 979 20.503  0.013  0.598  0.018
 980 20.504  0.011  0.627  0.017
 981 20.508  0.012  1.551  0.028
 982 20.508  0.016  0.547  0.025
 983 20.513  0.012  0.609  0.018
 984 20.514  0.011  0.525  0.016
 985 20.514  0.012  1.527  0.025
 986 20.514  0.012  0.641  0.018
 987 20.515  0.011  0.634  0.015
 988 20.516  0.011  0.672  0.016
 989 20.519  0.012  0.663  0.018
 990 20.519  0.012  0.642  0.017
 991 20.522  0.011  0.606  0.016
 992 20.524  0.011  0.608  0.017
 993 20.528  0.012  0.598  0.018
 994 20.529  0.010  0.649  0.016
 995 20.529  0.012  0.613  0.019
 996 20.530  0.011  0.703  0.018
 997 20.531  0.015  0.649  0.021
 998 20.532  0.012  0.603  0.017
 999 20.533  0.011  0.617  0.016
1000 20.534  0.010  0.675  0.017
1001 20.534  0.011  1.434  0.026
1002 20.538  0.016  0.533  0.022
1003 20.540  0.011  0.611  0.017
1004 20.541  0.012  0.457  0.021
1005 20.543  0.019  0.638  0.026
1006 20.545  0.012  0.682  0.017
1007 20.545  0.011  0.629  0.018
1008 20.547  0.011  0.653  0.016
1009 20.547  0.012  0.668  0.018
1010 20.547  0.012  0.640  0.017
1011 20.550  0.019  0.843  0.026
1012 20.550  0.013  0.693  0.017
1013 20.553  0.014  0.670  0.019
1014 20.554  0.012  0.614  0.017
1015 20.555  0.011  1.656  0.032
1016 20.555  0.012  0.649  0.018
1017 20.559  0.012  0.686  0.020
1018 20.560  0.011  0.742  0.018
1019 20.561  0.013  0.655  0.018
1020 20.563  0.012  0.618  0.017
1021 20.563  0.012  0.617  0.017
1022 20.564  0.012  0.587  0.018
1023 20.564  0.013  0.711  0.019
1024 20.566  0.012  0.656  0.018
1025 20.569  0.012  0.660  0.018
1026 20.571  0.013  0.617  0.018
1027 20.572  0.012  0.658  0.021
1028 20.573  0.013  0.639  0.018
1029 20.574  0.013  0.635  0.018
1030 20.576  0.013  0.644  0.019
1031 20.579  0.015  0.720  0.023
1032 20.582  0.012  0.657  0.018
1033 20.582  0.012  0.637  0.018
1034 20.583  0.013  0.625  0.020
1035 20.585  0.012  0.617  0.018
1036 20.585  0.012  0.613  0.017
1037 20.592  0.011  0.649  0.017
1038 20.593  0.012  0.674  0.018
1039 20.594  0.012  0.626  0.019
1040 20.595  0.014  0.725  0.022
1041 20.600  0.013  0.623  0.019
1042 20.602  0.012  0.546  0.018
1043 20.602  0.012  0.648  0.017
1044 20.602  0.013  0.603  0.019
1045 20.606  0.013  0.698  0.022
1046 20.607  0.012  0.689  0.019
1047 20.607  0.012  0.655  0.018
1048 20.609  0.013  0.643  0.020
1049 20.609  0.012  0.555  0.018
1050 20.610  0.016  0.830  0.022
1051 20.610  0.012  0.643  0.018
1052 20.613  0.020  0.726  0.028
1053 20.615  0.011  0.621  0.017
1054 20.617  0.012  0.696  0.020
1055 20.617  0.013  0.633  0.020
1056 20.617  0.015  0.790  0.022
1057 20.619  0.015  0.715  0.021
1058 20.620  0.012  0.658  0.019
1059 20.620  0.013  0.675  0.021
1060 20.620  0.012  0.672  0.019
1061 20.623  0.013  0.644  0.019
1062 20.624  0.012  1.632  0.037
1063 20.625  0.012  0.738  0.020
1064 20.627  0.013  0.656  0.020
1065 20.627  0.017  0.838  0.026
1066 20.628  0.013  0.646  0.019
1067 20.630  0.012  0.731  0.017
1068 20.632  0.012  0.674  0.019
1069 20.636  0.013  0.748  0.019
1070 20.637  0.012  0.627  0.017
1071 20.637  0.013  0.686  0.019
1072 20.639  0.013  0.659  0.020
1073 20.641  0.013  0.683  0.020
1074 20.641  0.013  0.608  0.019
1075 20.641  0.012  0.674  0.018
1076 20.641  0.012  0.672  0.019
1077 20.642  0.012  1.481  0.026
1078 20.647  0.012  0.683  0.020
1079 20.648  0.013  0.715  0.020
1080 20.649  0.013  0.634  0.019
1081 20.650  0.012  0.782  0.021
1082 20.651  0.014  0.604  0.020
1083 20.652  0.012  0.663  0.018
1084 20.652  0.013  0.663  0.020
1085 20.652  0.012  0.666  0.019
1086 20.653  0.012  0.648  0.018
1087 20.653  0.012  0.675  0.019
1088 20.654  0.014  1.682  0.044
1089 20.654  0.012  0.604  0.019
1090 20.655  0.013  0.704  0.020
1091 20.656  0.012  0.658  0.019
1092 20.660  0.013  0.683  0.020
1093 20.661  0.013  0.657  0.019
1094 20.664  0.013  0.576  0.019
1095 20.665  0.013  0.660  0.019
1096 20.671  0.014  0.698  0.021
1097 20.675  0.012  1.335  0.024
1098 20.677  0.012  0.633  0.018
1099 20.678  0.014  0.686  0.020
1100 20.682  0.017  0.643  0.025
1101 20.688  0.013  0.698  0.021
1102 20.689  0.013  0.698  0.019
1103 20.689  0.013  0.666  0.021
1104 20.691  0.014  0.700  0.020
1105 20.691  0.013  0.756  0.020
1106 20.691  0.013  0.622  0.020
1107 20.694  0.013  0.674  0.019
1108 20.695  0.013  0.696  0.019
1109 20.695  0.013  0.609  0.019
1110 20.695  0.014  0.660  0.020
1111 20.696  0.013  0.663  0.019
1112 20.696  0.013  0.771  0.022
1113 20.700  0.015  0.698  0.021
1114 20.702  0.014  0.684  0.022
1115 20.706  0.013  0.616  0.019
1116 20.707  0.013  0.674  0.019
1117 20.707  0.013  0.698  0.020
1118 20.708  0.013  0.665  0.021
1119 20.709  0.013  0.310  0.018
1120 20.710  0.013  0.675  0.018
1121 20.712  0.013  0.685  0.021
1122 20.712  0.013  0.661  0.019
1123 20.712  0.013  0.677  0.020
1124 20.712  0.013  0.679  0.019
1125 20.720  0.013  0.693  0.021
1126 20.722  0.014  0.664  0.022
1127 20.726  0.014  0.702  0.022
1128 20.726  0.014  0.625  0.023
1129 20.727  0.013  0.698  0.020
1130 20.727  0.014  0.722  0.022
1131 20.729  0.012  0.666  0.019
1132 20.730  0.014  1.510  0.028
1133 20.736  0.013  0.646  0.020
1134 20.736  0.014  0.721  0.021
1135 20.739  0.013  0.713  0.020
1136 20.739  0.014  0.670  0.021
1137 20.740  0.019  0.751  0.026
1138 20.744  0.014  0.677  0.023
1139 20.745  0.014  0.685  0.022
1140 20.746  0.012  0.649  0.022
1141 20.747  0.013  0.709  0.021
1142 20.747  0.016  0.730  0.027
1143 20.747  0.014  0.765  0.022
1144 20.749  0.014  0.873  0.023
1145 20.756  0.018  1.501  0.037
1146 20.758  0.014  0.703  0.020
1147 20.760  0.012  0.761  0.019
1148 20.761  0.022  0.598  0.042
1149 20.761  0.014  0.651  0.020
1150 20.762  0.013  1.304  0.026
1151 20.765  0.013  0.705  0.021
1152 20.766  0.018  1.181  0.029
1153 20.767  0.014  0.711  0.021
1154 20.771  0.014  0.672  0.021
1155 20.772  0.013  0.642  0.020
1156 20.773  0.014  0.747  0.022
1157 20.774  0.013  0.700  0.020
1158 20.776  0.014  0.690  0.022
1159 20.778  0.013  0.694  0.020
1160 20.780  0.014  0.690  0.021
1161 20.783  0.015  0.674  0.021
1162 20.784  0.013  0.695  0.020
1163 20.788  0.016  0.677  0.023
1164 20.789  0.014  0.708  0.021
1165 20.791  0.014  0.651  0.021
1166 20.793  0.013  0.692  0.020
1167 20.795  0.014  0.739  0.021
1168 20.796  0.013  0.673  0.021
1169 20.797  0.014  0.648  0.023
1170 20.799  0.014  1.546  0.038
1171 20.800  0.014  0.711  0.021
1172 20.803  0.015  0.674  0.023
1173 20.803  0.014  0.699  0.022
1174 20.804  0.015  0.658  0.022
1175 20.804  0.013  0.709  0.020
1176 20.805  0.014  0.616  0.022
1177 20.808  0.014  0.687  0.023
1178 20.808  0.014  0.665  0.021
1179 20.809  0.014  0.782  0.023
1180 20.810  0.016  0.737  0.023
1181 20.811  0.015  0.929  0.025
1182 20.812  0.014  0.655  0.022
1183 20.812  0.013  0.665  0.022
1184 20.814  0.015  0.640  0.023
1185 20.815  0.014  0.698  0.024
1186 20.815  0.015  0.561  0.023
1187 20.816  0.015  0.643  0.023
1188 20.816  0.015  0.659  0.023
1189 20.818  0.014  0.708  0.022
1190 20.819  0.013  0.663  0.022
1191 20.819  0.015  0.689  0.022
1192 20.821  0.016  0.695  0.024
1193 20.824  0.014  0.720  0.022
1194 20.825  0.015  0.753  0.022
1195 20.826  0.014  0.708  0.029
1196 20.829  0.015  0.689  0.022
1197 20.830  0.015  0.716  0.024
1198 20.832  0.016  0.613  0.024
1199 20.833  0.014  0.734  0.022
1200 20.834  0.020  1.064  0.039
1201 20.836  0.016  0.683  0.025
1202 20.839  0.014  0.709  0.023
1203 20.839  0.014  0.548  0.022
1204 20.840  0.014  0.674  0.021
1205 20.840  0.016  0.707  0.023
1206 20.842  0.015  0.857  0.027
1207 20.843  0.014  0.633  0.022
1208 20.845  0.016  0.701  0.024
1209 20.846  0.014  0.704  0.022
1210 20.846  0.015  0.850  0.025
1211 20.846  0.014  0.743  0.023
1212 20.847  0.016  0.638  0.024
1213 20.848  0.026  0.814  0.034
1214 20.849  0.015  0.751  0.022
1215 20.850  0.015  0.702  0.026
1216 20.851  0.014  0.710  0.022
1217 20.852  0.015  0.777  0.023
1218 20.852  0.015  0.687  0.023
1219 20.852  0.016  0.617  0.023
1220 20.853  0.015  0.649  0.022
1221 20.853  0.014  0.665  0.023
1222 20.856  0.015  0.776  0.027
1223 20.863  0.015  0.700  0.021
1224 20.863  0.016  0.677  0.024
1225 20.863  0.014  0.750  0.022
1226 20.865  0.014  0.765  0.023
1227 20.870  0.016  0.731  0.024
1228 20.870  0.015  0.674  0.023
1229 20.870  0.015  0.703  0.024
1230 20.871  0.014  0.474  0.021
1231 20.872  0.017  1.547  0.043
1232 20.874  0.015  0.580  0.023
1233 20.875  0.014  0.663  0.022
1234 20.876  0.014  0.652  0.022
1235 20.882  0.015  0.650  0.024
1236 20.883  0.017  0.631  0.026
1237 20.886  0.014  1.458  0.033
1238 20.890  0.016  0.701  0.024
1239 20.890  0.016  0.770  0.027
1240 20.893  0.016  0.748  0.026
1241 20.895  0.017  0.639  0.026
1242 20.895  0.016  0.699  0.029
1243 20.897  0.016  0.673  0.024
1244 20.898  0.015  0.752  0.029
1245 20.900  0.014  0.757  0.023
1246 20.901  0.016  0.712  0.024
1247 20.901  0.017  0.677  0.025
1248 20.902  0.015  0.686  0.023
1249 20.902  0.017  0.729  0.025
1250 20.902  0.015  0.468  0.020
1251 20.902  0.017  0.715  0.029
1252 20.903  0.015  0.878  0.024
1253 20.904  0.016  0.682  0.026
1254 20.905  0.015  0.768  0.031
1255 20.905  0.015  0.722  0.024
1256 20.907  0.015  0.708  0.023
1257 20.907  0.015  0.712  0.024
1258 20.907  0.016  0.726  0.025
1259 20.911  0.015  0.715  0.024
1260 20.913  0.016  0.699  0.025
1261 20.913  0.015  0.715  0.026
1262 20.917  0.015  0.736  0.021
1263 20.917  0.013  0.761  0.022
1264 20.917  0.022  0.814  0.033
1265 20.919  0.016  0.747  0.025
1266 20.924  0.017  0.737  0.025
1267 20.926  0.016  0.715  0.024
1268 20.927  0.016  0.695  0.026
1269 20.927  0.015  0.720  0.024
1270 20.928  0.015  0.763  0.024
1271 20.929  0.015  0.702  0.023
1272 20.929  0.014  0.712  0.023
1273 20.932  0.014  0.707  0.023
1274 20.938  0.018  0.704  0.027
1275 20.942  0.015  0.735  0.026
1276 20.943  0.018  1.585  0.042
1277 20.943  0.015  0.639  0.024
1278 20.944  0.015  0.763  0.025
1279 20.944  0.016  0.773  0.025
1280 20.945  0.015  0.777  0.022
1281 20.952  0.016  0.687  0.025
1282 20.953  0.015  0.707  0.024
1283 20.953  0.018  0.724  0.028
1284 20.954  0.014  0.745  0.022
1285 20.955  0.015  0.756  0.024
1286 20.956  0.015  0.659  0.025
1287 20.958  0.017  0.762  0.026
1288 20.960  0.015  0.757  0.024
1289 20.961  0.018  0.821  0.027
1290 20.962  0.016  0.764  0.026
1291 20.964  0.016  0.684  0.025
1292 20.966  0.015  0.700  0.024
1293 20.967  0.016  0.721  0.025
1294 20.969  0.018  0.725  0.031
1295 20.969  0.016  0.729  0.025
1296 20.977  0.016  0.770  0.026
1297 20.980  0.016  0.702  0.024
1298 20.982  0.017  0.708  0.027
1299 20.982  0.017  0.709  0.026
1300 20.983  0.014  0.772  0.023
1301 20.984  0.016  0.812  0.025
1302 20.985  0.017  0.698  0.027
1303 20.985  0.016  0.683  0.025
1304 20.986  0.015  0.666  0.022
1305 20.986  0.015  0.735  0.026
1306 20.987  0.016  0.719  0.026
1307 20.987  0.025  1.084  0.047
1308 20.990  0.017  0.774  0.026
1309 20.992  0.016  0.790  0.026
1310 20.993  0.015  0.693  0.024
1311 20.995  0.018  0.739  0.026
1312 20.996  0.017  0.734  0.031
1313 20.997  0.016  0.764  0.024
1314 20.997  0.023  0.787  0.036
1315 20.998  0.024  0.816  0.036
1316 20.998  0.016  0.736  0.026
1317 21.000  0.015  0.730  0.024
1318 21.003  0.016  0.798  0.028
1319 21.005  0.017  0.740  0.026
1320 21.010  0.016  0.728  0.027
1321 21.014  0.017  0.728  0.025
1322 21.016  0.029  0.707  0.042
1323 21.017  0.017  0.730  0.026
1324 21.017  0.031  0.754  0.040
1325 21.018  0.018  0.727  0.027
1326 21.021  0.019  0.724  0.029
1327 21.022  0.017  0.673  0.027
1328 21.027  0.019  0.777  0.029
1329 21.027  0.022  0.776  0.030
1330 21.027  0.017  0.728  0.027
1331 21.028  0.019  0.828  0.032
1332 21.029  0.017  0.730  0.026
1333 21.035  0.016  0.699  0.031
1334 21.036  0.016  0.681  0.024
1335 21.038  0.017  0.722  0.026
1336 21.039  0.018  0.740  0.026
1337 21.042  0.017  0.761  0.026
1338 21.045  0.021  0.728  0.032
1339 21.045  0.017  0.684  0.025
1340 21.047  0.017  0.753  0.026
1341 21.047  0.019  0.672  0.027
1342 21.049  0.017  0.735  0.028
1343 21.051  0.019  0.779  0.033
1344 21.051  0.019  0.848  0.037
1345 21.055  0.017  0.602  0.025
1346 21.056  0.019  0.766  0.030
1347 21.057  0.018  0.790  0.025
1348 21.061  0.016  0.787  0.025
1349 21.063  0.017  0.792  0.028
1350 21.065  0.017  0.779  0.031
1351 21.065  0.031  1.285  0.057
1352 21.066  0.016  0.755  0.029
1353 21.068  0.019  0.707  0.029
1354 21.069  0.018  0.774  0.029
1355 21.070  0.017  0.789  0.032
1356 21.071  0.017  0.652  0.025
1357 21.072  0.017  0.733  0.027
1358 21.073  0.018  0.730  0.029
1359 21.074  0.018  0.724  0.027
1360 21.075  0.017  0.795  0.026
1361 21.075  0.021  0.698  0.035
1362 21.076  0.020  0.876  0.029
1363 21.076  0.017  0.835  0.028
1364 21.078  0.019  0.838  0.030
1365 21.081  0.019  0.759  0.031
1366 21.082  0.019  0.721  0.029
1367 21.083  0.018  0.771  0.032
1368 21.085  0.019  1.510  0.046
1369 21.085  0.019  0.791  0.029
1370 21.089  0.030  0.669  0.041
1371 21.090  0.016  0.753  0.026
1372 21.093  0.019  0.806  0.033
1373 21.096  0.023  0.859  0.033
1374 21.101  0.019  0.721  0.035
1375 21.106  0.016  0.664  0.027
1376 21.107  0.017  0.722  0.029
1377 21.107  0.019  0.719  0.035
1378 21.107  0.023  0.740  0.031
1379 21.107  0.018  0.791  0.029
1380 21.109  0.019  0.759  0.030
1381 21.110  0.019  0.747  0.028
1382 21.110  0.017  0.797  0.030
1383 21.112  0.018  0.711  0.029
1384 21.112  0.018  0.713  0.031
1385 21.113  0.021  0.799  0.034
1386 21.115  0.019  0.846  0.031
1387 21.116  0.018  0.770  0.030
1388 21.116  0.018  0.777  0.031
1389 21.118  0.018  0.691  0.029
1390 21.119  0.019  1.281  0.039
1391 21.119  0.022  0.748  0.032
1392 21.120  0.017  1.031  0.038
1393 21.122  0.020  1.234  0.052
1394 21.126  0.017  0.786  0.030
1395 21.130  0.021  0.820  0.031
1396 21.130  0.018  0.760  0.030
1397 21.134  0.017  0.785  0.028
1398 21.135  0.020  0.794  0.031
1399 21.135  0.018  0.756  0.031
1400 21.135  0.019  0.733  0.032
1401 21.139  0.022  0.788  0.041
1402 21.139  0.018  0.766  0.029
1403 21.143  0.018  0.737  0.028
1404 21.144  0.034  0.822  0.043
1405 21.145  0.021  0.846  0.032
1406 21.146  0.018 -0.065  0.021
1407 21.146  0.020  0.777  0.035
1408 21.148  0.018  0.772  0.029
1409 21.150  0.019  0.701  0.028
1410 21.154  0.018  0.808  0.034
1411 21.154  0.022  0.813  0.043
1412 21.154  0.018  0.761  0.027
1413 21.160  0.021  0.783  0.031
1414 21.160  0.019  0.681  0.029
1415 21.160  0.018  0.772  0.027
1416 21.162  0.017  0.751  0.028
1417 21.163  0.019  0.824  0.034
1418 21.164  0.019  0.798  0.035
1419 21.165  0.019  0.752  0.032
1420 21.169  0.018  0.785  0.034
1421 21.169  0.019  0.740  0.030
1422 21.170  0.018  0.794  0.032
1423 21.173  0.017  0.785  0.027
1424 21.175  0.019  0.729  0.034
1425 21.176  0.019  0.734  0.027
1426 21.178  0.021  1.403  0.050
1427 21.180  0.021  0.748  0.034
1428 21.182  0.022  0.791  0.038
1429 21.182  0.020  0.833  0.032
1430 21.184  0.021  0.872  0.038
1431 21.189  0.021  0.883  0.040
1432 21.191  0.019  0.785  0.033
1433 21.194  0.020  0.763  0.032
1434 21.194  0.022  0.771  0.032
1435 21.194  0.020  0.786  0.030
1436 21.195  0.018  0.726  0.030
1437 21.196  0.019  0.776  0.032
1438 21.198  0.023  0.954  0.049
1439 21.202  0.020  0.829  0.032
1440 21.207  0.019  0.829  0.036
1441 21.210  0.020  0.896  0.034
1442 21.213  0.019  0.780  0.032
1443 21.213  0.022  0.831  0.041
1444 21.214  0.019  0.759  0.034
1445 21.215  0.020  0.916  0.041
1446 21.215  0.020  0.757  0.032
1447 21.216  0.018  0.789  0.033
1448 21.218  0.019  0.839  0.031
1449 21.218  0.019  0.818  0.034
1450 21.218  0.020  0.710  0.031
1451 21.219  0.019  0.773  0.031
1452 21.221  0.021  0.805  0.032
1453 21.223  0.020  0.759  0.034
1454 21.233  0.020  0.764  0.039
1455 21.235  0.021  0.738  0.045
1456 21.237  0.018  0.761  0.029
1457 21.237  0.019  0.702  0.032
1458 21.237  0.018  0.804  0.033
1459 21.238  0.021  0.800  0.036
1460 21.239  0.018  0.701  0.038
1461 21.240  0.019  0.713  0.029
1462 21.241  0.021  0.808  0.035
1463 21.242  0.023  0.815  0.041
1464 21.243  0.021  0.782  0.032
1465 21.246  0.020  0.872  0.037
1466 21.247  0.019  0.802  0.032
1467 21.249  0.024  0.772  0.035
